fecha,tipo,venta_real_historica,prediccion_futura,limite_inferior,limite_superior,Hay_Promocion,Impacto_Futbol
2025-03-31,historico,14934.4,,,,0,75.0
2025-04-07,historico,8736.51,,,,0,48.0
2025-04-14,historico,8736.51,,,,0,33.0
2025-04-21,historico,8736.51,,,,0,48.0
2025-04-28,historico,17866.84,,,,0,48.0
2025-05-05,historico,9130.33,,,,0,51.0
2025-05-12,historico,9130.33,,,,0,57.0
2025-05-19,historico,9130.33,,,,0,39.0
2025-05-26,historico,14679.84,,,,0,0.0
2025-06-02,historico,5549.51,,,,0,0.0
2025-06-09,historico,5549.51,,,,0,0.0
2025-06-16,historico,5549.51,,,,0,0.0
2025-06-23,historico,5549.51,,,,0,0.0
2025-06-30,historico,13897.71,,,,0,0.0
2025-07-07,historico,8348.2,,,,0,0.0
2025-07-14,historico,8348.2,,,,0,0.0
2025-07-21,historico,8348.2,,,,0,0.0
2025-07-28,historico,16060.11,,,,0,15.0
2025-08-04,historico,7711.92,,,,0,21.0
2025-08-11,historico,7711.92,,,,0,27.0
2025-08-18,historico,7711.92,,,,0,42.0
2025-08-25,historico,7711.92,,,,0,51.0
2025-09-01,historico,7856.29,,,,0,0.0
2025-09-08,historico,7856.29,,,,0,48.0
2025-09-15,historico,7856.29,,,,0,33.0
2025-09-22,historico,7856.29,,,,0,51.0
2025-09-29,historico,14984.47,,,,0,51.0
2025-10-06,historico,7128.18,,,,0,0.0
2025-10-13,historico,7128.18,,,,0,45.0
2025-10-20,historico,7128.18,,,,0,51.0
2025-10-27,historico,14194.02,,,,0,51.0
2025-11-03,historico,7065.84,,,,0,51.0
2025-11-10,historico,7065.84,,,,0,0.0
2025-11-17,historico,7065.84,,,,0,45.0
2025-11-24,historico,7065.84,,,,0,54.0
2025-12-01,historico,6836.3,,,,0,90.0
2025-12-08,historico,6836.3,,,,0,42.0
2025-12-15,historico,6836.3,,,,0,54.0
2025-12-22,historico,6836.3,,,,0,51.0
2025-12-29,historico,11301.15,,,,1,93.0
2026-01-05,historico,4464.85,,,,1,51.0
2026-01-12,historico,4464.85,,,,1,33.0
2026-01-19,historico,4464.85,,,,1,48.0
2026-01-26,historico,10250.28,,,,1,48.0
2026-02-02,historico,5785.43,,,,1,45.0
2026-02-09,historico,5785.43,,,,1,63.0
2026-02-16,historico,5785.43,,,,1,48.0
2026-02-23,historico,13188.61,,,,1,54.0
2026-03-02,historico,7403.18,,,,1,39.0
2026-05-04,forecast,,12324.09,5566.94,19081.23,1,42.0
2026-05-11,forecast,,8582.92,1825.77,15340.07,1,42.0
2026-05-18,forecast,,12034.82,5277.67,18791.96,1,42.0
2026-05-25,forecast,,8530.66,1773.51,15287.8,1,42.0
2026-06-01,forecast,,13716.49,6959.34,20473.63,1,42.0
2026-06-08,forecast,,7845.66,1088.51,14602.8,1,42.0
2026-06-15,forecast,,10978.01,4220.86,17735.15,1,42.0
2026-06-22,forecast,,7665.73,908.58,14422.88,1,42.0
